ym,local,bill,rsn,cnt,amt
﻿201811,1,2,1,6,122000
﻿201811,1,2,2,29,601000
﻿201811,1,2,5,3,262000
﻿201811,1,2,6,10,745000
﻿201811,1,3,1,16,65000
﻿201811,1,3,2,26,94000
﻿201811,1,3,4,9,42000
﻿201811,1,3,6,7,29000
﻿201811,1,4,4,193,160000
﻿201811,1,4,6,33,81000
﻿201811,1,6,1,47,22300000
﻿201811,1,6,4,9,1000
﻿201811,1,6,6,34,13700000
﻿201811,1,7,1,87,3120000
﻿201811,1,7,2,317,9460000
﻿201811,1,7,4,12,690000
﻿201811,1,7,6,59,1150000
﻿201811,6,1,1,4,107000
﻿201811,6,1,2,23,448000
﻿201811,6,1,6,5,191000
﻿201811,6,2,2,2,15000
﻿201811,6,3,1,10,50000
﻿201811,6,3,4,9,27000
﻿201811,6,3,6,3,15000
﻿201811,6,4,4,3,36000
﻿201811,6,6,1,1,18000
﻿201811,6,6,2,1,6000
﻿201811,6,7,2,419,10100000
﻿201811,11,1,1,4,214000
﻿201811,11,1,4,1,50000
﻿201811,11,1,6,1,32000
﻿201811,11,2,1,1,25000
﻿201811,11,2,2,6,220000
﻿201811,11,3,1,2,10000
﻿201811,11,7,1,5,475000
﻿201811,11,7,2,54,1190000
﻿201811,11,7,6,14,201000
﻿201811,12,1,6,1,23000
﻿201811,12,7,1,6,400000
﻿201811,12,7,2,30,2250000
﻿201811,13,1,2,4,42000
﻿201811,13,1,4,1,11000
﻿201811,13,4,4,2,100000
﻿201811,13,7,2,7,34000
﻿201811,14,1,2,1,13000
﻿201811,14,1,5,1,30000
﻿201811,14,2,1,1,11000
﻿201811,14,2,2,6,180000
﻿201811,14,4,4,6,3000
﻿201811,14,4,6,1,1000
﻿201811,14,6,6,1,18000
﻿201811,14,7,1,7,135000
﻿201811,14,7,2,64,5360000
﻿201811,14,7,6,23,612000
﻿201811,15,1,6,1,4000
﻿201811,15,3,6,1,3000
﻿201811,15,4,4,1,1000
﻿201811,15,7,2,4,20000
﻿201811,16,1,1,1,55000
﻿201811,16,1,2,3,123000
﻿201811,16,2,2,2,110000
﻿201811,16,3,6,1,3000
﻿201811,17,3,1,1,3000
﻿201811,17,4,4,1,1000
﻿201811,18,3,6,1,5000
﻿201811,18,6,1,1,5000
﻿201811,19,2,6,4,130000
﻿201811,19,7,6,1,6000
﻿201811,21,7,2,52,1840000
﻿201811,22,1,6,1,7000
﻿201811,29,2,2,1,25000
﻿201811,29,7,2,11,240000
﻿201811,2J,2,2,3,100000
﻿201811,2J,7,2,19,469000
﻿201811,38,1,2,6,50000
﻿201811,38,7,1,26,559000
﻿201811,38,7,2,2,7000
﻿201811,38,7,6,71,3920000
﻿201811,39,7,1,35,620000
﻿201811,39,7,2,9,155000
﻿201811,3C,1,1,2,162000
﻿201811,3G,7,4,2,153000
﻿201811,3H,1,2,2,120000
﻿201811,3K,7,2,8,542000
﻿201811,3T,7,2,2,44000
﻿201811,43,7,4,1,100000
﻿201811,47,1,1,2,153000
﻿201811,47,1,2,16,599000
﻿201811,47,2,1,3,35000
﻿201811,47,2,2,6,171000
﻿201811,47,2,4,1,7000
